,Name,Publisher,Year_of_Release,Game_Age,Genre,Platform,Platform_Launch_Year,Game_released_xYears_after_Platform,Platform_Death,Years_since_Platform_Discontinued,Platform_Lifespan,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3668,World Soccer Winning Eleven 7 International (JP version),Konami Digital Entertainment,2004,12,Sports,PS2,2000,4,2013,3,13,0.0,0.0,0.54,0.0,0.54
3669,ESPN NBA Basketball,Sega,2003,13,Sports,PS2,2000,3,2013,3,13,0.26,0.21,0.0,0.07,0.54
3670,Dragon Ball Z: Ultimate Tenkaichi,Namco Bandai Games,2011,5,Fighting,X360,2005,6,2016,0,11,0.39,0.1,0.01,0.04,0.54
3671,Sacred 2: Fallen Angel,Deep Silver,2009,7,Role-Playing,X360,2005,4,2016,0,11,0.29,0.16,0.04,0.05,0.54
3672,Two Worlds II,Other,2011,5,Role-Playing,X360,2005,6,2016,0,11,0.4,0.07,0.03,0.03,0.54
3673,Over the Hedge,Activision,2006,10,Platform,PS2,2000,6,2013,3,13,0.45,0.02,0.0,0.07,0.54
3674,Mat Hoffman's Pro BMX,Activision,2001,15,Sports,PS,1994,7,2000,16,6,0.3,0.2,0.0,0.04,0.54
3675,Phineas and Ferb: Across the 2nd Dimension,Disney Interactive Studios,2011,5,Action,DS,2004,7,2013,3,9,0.31,0.18,0.0,0.05,0.54
3676,50 Classic Games,Other,2009,7,Misc,DS,2004,5,2013,3,9,0.5,0.0,0.0,0.04,0.54
3677,Let's Draw!,Ubisoft,2008,8,Misc,DS,2004,4,2013,3,9,0.24,0.23,0.0,0.06,0.54
3678,NHL 14,Electronic Arts,2013,3,Sports,X360,2005,8,2016,0,11,0.4,0.09,0.0,0.05,0.54
3679,Popeye,Other,1982,34,Platform,2600,1977,5,1992,24,15,0.5,0.03,0.0,0.01,0.54
3680,Petz Nursery,Ubisoft,2009,7,Simulation,DS,2004,5,2013,3,9,0.5,0.0,0.0,0.04,0.54
3681,The Hobbit,Vivendi Games,2003,13,Platform,PS2,2000,3,2013,3,13,0.26,0.2,0.0,0.07,0.54
3682,War of the Monsters,Sony Computer Entertainment,2003,13,Fighting,PS2,2000,3,2013,3,13,0.26,0.2,0.0,0.07,0.54
3683,Harry Potter and the Deathly Hallows - Part 1,Electronic Arts,2010,6,Action,Wii,2006,4,2016,0,10,0.22,0.27,0.0,0.05,0.54
3684,The Incredible Hulk: Ultimate Destruction,Vivendi Games,2005,11,Action,PS2,2000,5,2013,3,13,0.26,0.2,0.0,0.07,0.54
3685,Time Crisis: Razing Storm,Namco Bandai Games,2010,6,Shooter,PS3,2006,4,2016,0,10,0.18,0.2,0.07,0.08,0.54
3686,Summer Sports: Paradise Island,Ubisoft,2008,8,Sports,Wii,2006,2,2016,0,10,0.48,0.01,0.0,0.04,0.53
3687,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",Sega,1998,18,Adventure,SAT,1994,4,2000,16,6,0.0,0.0,0.53,0.0,0.53
3688,Time Crisis II,Namco Bandai Games,2001,15,Shooter,PS2,2000,1,2013,3,13,0.26,0.2,0.0,0.07,0.53
3689,Inazuma Eleven GO,Nintendo,2011,5,Role-Playing,3DS,2011,0,2016,0,5,0.0,0.05,0.48,0.0,0.53
3690,Clock Tower,Other,1996,20,Adventure,PS,1994,2,2000,16,6,0.07,0.05,0.38,0.03,0.53
3691,NCAA March Madness 06,Electronic Arts,2005,11,Sports,PS2,2000,5,2013,3,13,0.45,0.02,0.0,0.07,0.53
3692,LEGO Dimensions,Warner Bros. Interactive Entertainment,2015,1,Action,WiiU,2012,3,2016,0,4,0.3,0.18,0.0,0.05,0.53
3693,Valkyria Chronicles II,Sega,2010,6,Role-Playing,PSP,2004,6,2014,2,10,0.12,0.15,0.18,0.09,0.53
3694,Jampack Volume 11,Sony Computer Entertainment,2004,12,Misc,PS2,2000,4,2013,3,13,0.26,0.2,0.0,0.07,0.53
3695,Monster High: Ghoul Spirit,THQ,2011,5,Misc,Wii,2006,5,2016,0,10,0.42,0.07,0.0,0.04,0.53
3696,Tatsunoko vs. Capcom: Ultimate All-Stars,Capcom,2010,6,Fighting,Wii,2006,4,2016,0,10,0.3,0.15,0.03,0.05,0.53
3697,Rune Factory: A Fantasy Harvest Moon,Other,2006,10,Role-Playing,DS,2004,2,2013,3,9,0.35,0.01,0.14,0.03,0.53
3698,Legacy of Kain: Defiance,Eidos Interactive,2003,13,Action,PS2,2000,3,2013,3,13,0.26,0.2,0.0,0.07,0.53
3699,NCAA March Madness 2005,Electronic Arts,2004,12,Sports,PS2,2000,4,2013,3,13,0.44,0.02,0.0,0.07,0.53
3700,007 Racing,Electronic Arts,2000,16,Racing,PS,1994,6,2000,16,6,0.3,0.2,0.0,0.03,0.53
3701,Tactics Ogre: Let Us Cling Together,Square Enix,2010,6,Role-Playing,PSP,2004,6,2014,2,10,0.15,0.07,0.27,0.05,0.53
3702,Conflict: Vietnam,Other,2004,12,Shooter,PS2,2000,4,2013,3,13,0.26,0.2,0.0,0.07,0.53
3703,Dragon's Crown,Nippon Ichi Software,2013,3,Role-Playing,PS3,2006,7,2016,0,10,0.25,0.07,0.17,0.05,0.53
